Monitoring Date,Officer ID,Officer Name,Office Location,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID,Incentive Received,Compliance Target Achieved
03-11-2022,9,Megan Lewis,Perth,4,Croudace Bay Park,"Cottesloe Beach, Perth, WA 6011",904,Noise Level Measurement,Description 123,1.76,Equipment 20,292.04,Non-Compliant,2,4397,Yes,No
13-02-2022,12,Isabella Thompson,Adelaide,13,Belmont Wetlands State Park,"Glenelg Beach, Adelaide, SA 5045",202,Air Quality Check,Description 11,7.39,Equipment 3,466.09,Compliant,1,4816,Yes,Yes
18-12-2022,2,Vicky Turner,Hobart,11,Jesmond Park,"Mount Wellington, Hobart, TAS 7054",17,Water Quality Test,Description 121,3.17,Equipment 8,254.42,Compliant,3,581,Yes,Yes
05-02-2022,4,Beth Smith,Darwin,1,Mount Sugarloaf,"Darwin Waterfront, Darwin, NT 0800",563,Air Quality Check,Description 175,1.96,Equipment 5,117.77,Compliant,3,4183,No,
19-10-2022,14,Olivia Hall,Canberra,20,Mount Sugarloaf,"Lake Burley Griffin, Canberra, ACT 2600",935,Air Quality Check,Description 171,1.34,Equipment 19,323.48,Compliant,1,4389,Yes,No
10-12-2022,15,Grace Jones,Gold Coast,4,Toronto Foreshore,"Broadbeach, Gold Coast, QLD 4218",396,Water Quality Test,Description 176,1.72,Equipment 9,487.59,Non-Compliant,5,3829,Yes,Yes
14-04-2022,9,Yvonne Cook,Newcastle,5,Watagan Mountains,"John Parade, Merewether, NSW 2291",301,Soil Quality Test,Description 154,7.01,Equipment 20,229.82,Non-Compliant,5,4026,Yes,No
29-04-2022,16,Hannah Moore,Sydney,18,Watagan Mountains,"Circular Quay, Sydney, NSW 2000",490,Noise Level Measurement,Description 191,3.33,Equipment 17,67.59,Compliant,4,4176,No,
27-10-2022,8,Laura Clark,Melbourne,19,Heaton State Forest,"Federation Square, Melbourne, VIC 3000",689,Air Quality Check,Description 29,2.22,Equipment 19,145.19,Non-Compliant,3,551,Yes,No
19-11-2022,18,Kate Harris,Brisbane,4,Lambton Park,"Queen Street Mall, Brisbane, QLD 4000",909,Soil Quality Test,Description 168,6.79,Equipment 14,39.44,Compliant,3,189,Yes,No
16-02-2022,24,Vicky Turner,Perth,18,Richley Reserve,"Kings Park, Perth, WA 6005",84,Air Quality Check,Description 193,4.41,Equipment 7,357.6,Non-Compliant,5,2636,No,
25-07-2022,13,Uma Allen,Adelaide,23,Braye Park,"Glenelg Beach, Adelaide, SA 5045",550,Air Quality Check,Description 36,1.66,Equipment 8,49.89,Non-Compliant,4,2566,No,
03-12-2022,3,Xena Perez,Hobart,15,Waratah Park,"Salamanca Place, Hobart, TAS 7000",353,Noise Level Measurement,Description 178,3.77,Equipment 13,87.99,Non-Compliant,4,4151,Yes,Yes
21-03-2022,25,Olivia Hall,Darwin,24,Richley Reserve,"Mindil Beach, Darwin, NT 0820",270,Air Quality Check,Description 186,5.01,Equipment 11,126.54,Compliant,5,4640,No,
01-10-2022,12,Natalie Walker,Canberra,14,Blackbutt Nature Reserve,"Lake Burley Griffin, Canberra, ACT 2600",955,Air Quality Check,Description 27,7.18,Equipment 11,256.19,Compliant,1,1903,No,
23-10-2022,13,Catherine Lee,Gold Coast,21,Redhead Beach,"Broadbeach, Gold Coast, QLD 4218",219,Soil Quality Test,Description 130,7.12,Equipment 20,393.41,Non-Compliant,3,642,Yes,No
05-08-2022,25,Samantha Wright,Newcastle,13,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",636,Noise Level Measurement,Description 180,7.8,Equipment 18,410.76,Non-Compliant,5,3434,No,
13-01-2022,9,Diana Taylor,Sydney,12,Merewether Beach,"John Parade, Merewether, NSW 2291",824,Water Quality Test,Description 44,7.39,Equipment 11,334.06,Compliant,1,2449,Yes,Yes
11-12-2022,5,Isabella Thompson,Melbourne,17,Nobbys Beach,"St Kilda Road, Melbourne, VIC 3004",312,Soil Quality Test,Description 38,1.18,Equipment 8,364.59,Non-Compliant,5,1310,No,
17-03-2022,11,Isabella Thompson,Brisbane,7,Speers Point Park,"Queen Street Mall, Brisbane, QLD 4000",948,Air Quality Check,Description 15,2.4,Equipment 8,307.61,Compliant,4,4944,No,
26-10-2022,8,Uma Allen,Perth,20,Warners Bay Foreshore,"Kings Park, Perth, WA 6005",687,Noise Level Measurement,Description 77,3.41,Equipment 17,405.22,Non-Compliant,3,4696,Yes,No
11-03-2022,22,Paula Young,Adelaide,11,Redhead Beach,"Rundle Mall, Adelaide, SA 5000",730,Noise Level Measurement,Description 45,6.08,Equipment 17,360.88,Non-Compliant,2,1456,No,
06-06-2022,8,Xena Perez,Hobart,3,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",203,Water Quality Test,Description 181,1.41,Equipment 4,173.14,Compliant,5,791,No,
02-10-2022,12,Uma Allen,Darwin,8,Hunter Wetlands Centre,"Mindil Beach, Darwin, NT 0820",919,Soil Quality Test,Description 24,6.32,Equipment 10,16.54,Non-Compliant,2,2735,No,
29-04-2022,8,Samantha Wright,Canberra,9,Newcastle Beach,"Parliament House, Canberra, ACT 2600",664,Soil Quality Test,Description 48,5.67,Equipment 9,246.65,Non-Compliant,4,2125,No,
27-01-2022,4,Jane White,Gold Coast,2,Belmont Wetlands State Park,"Broadbeach, Gold Coast, QLD 4218",533,Noise Level Measurement,Description 167,2.69,Equipment 18,456.47,Compliant,2,325,No,
03-08-2022,20,Paula Young,Newcastle,19,Jesmond Park,"Shortland Esplanade, Newcastle, NSW 2300",16,Soil Quality Test,Description 149,2.94,Equipment 5,368.58,Non-Compliant,5,4125,Yes,No
23-07-2022,24,Rachel King,Sydney,7,Mount Sugarloaf,"Circular Quay, Sydney, NSW 2000",998,Water Quality Test,Description 7,1.99,Equipment 20,85.83,Compliant,4,2391,Yes,Yes
25-05-2022,9,Tina Scott,Melbourne,14,Charlestown Park,"St Kilda Road, Melbourne, VIC 3004",224,Water Quality Test,Description 100,3.85,Equipment 11,73.22,Compliant,3,739,No,
10-01-2022,6,Alice Johnson,Brisbane,5,Toronto Foreshore,"South Bank, Brisbane, QLD 4101",407,Water Quality Test,Description 22,6.05,Equipment 8,38.98,Compliant,5,1584,Yes,No
30-08-2022,18,Samantha Wright,Perth,13,Watagan Mountains,"Kings Park, Perth, WA 6005",453,Soil Quality Test,Description 199,1.29,Equipment 17,14.86,Compliant,1,3538,Yes,Yes
05-04-2022,14,Wendy Mitchell,Adelaide,24,Awaba State Forest,"Rundle Mall, Adelaide, SA 5000",252,Soil Quality Test,Description 157,4.71,Equipment 4,373.02,Non-Compliant,1,3157,Yes,No
24-02-2022,6,Kate Harris,Hobart,17,Heaton State Forest,"Salamanca Place, Hobart, TAS 7000",155,Air Quality Check,Description 112,3.57,Equipment 9,350.74,Compliant,5,314,Yes,Yes
03-06-2022,21,Kate Harris,Darwin,16,Lambton Park,"Darwin Waterfront, Darwin, NT 0800",125,Water Quality Test,Description 97,6.04,Equipment 8,487.11,Compliant,3,3672,No,
16-08-2022,9,Vicky Turner,Canberra,8,Richley Reserve,"Lake Burley Griffin, Canberra, ACT 2600",454,Noise Level Measurement,Description 138,2.37,Equipment 5,368.77,Compliant,5,3619,Yes,No
20-01-2022,23,Yvonne Cook,Gold Coast,14,Braye Park,"Broadbeach, Gold Coast, QLD 4218",961,Air Quality Check,Description 82,1.67,Equipment 7,266.22,Compliant,3,3080,Yes,Yes
26-08-2022,11,Alice Johnson,Newcastle,6,Waratah Park,"John Parade, Merewether, NSW 2291",406,Noise Level Measurement,Description 19,1.96,Equipment 16,358.27,Non-Compliant,1,4737,No,
31-08-2022,23,Rachel King,Sydney,11,King Edward Park,"Circular Quay, Sydney, NSW 2000",199,Noise Level Measurement,Description 139,3.48,Equipment 10,331.86,Non-Compliant,5,405,Yes,No
29-11-2022,17,Jane White,Melbourne,8,Blackbutt Nature Reserve,"Federation Square, Melbourne, VIC 3000",813,Soil Quality Test,Description 73,4.4,Equipment 19,430.69,Non-Compliant,4,406,No,
21-01-2022,11,Laura Clark,Brisbane,3,King Edward Park,"South Bank, Brisbane, QLD 4101",214,Air Quality Check,Description 80,5.74,Equipment 1,373.04,Non-Compliant,4,4953,Yes,Yes
01-11-2022,16,Samantha Wright,Perth,7,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",236,Soil Quality Test,Description 35,2.81,Equipment 11,327.62,Compliant,4,2181,Yes,No
19-10-2022,20,Vicky Turner,Adelaide,15,Speers Point Park,"Glenelg Beach, Adelaide, SA 5045",63,Water Quality Test,Description 195,4.61,Equipment 16,497.6,Non-Compliant,2,1603,No,
31-05-2022,7,Grace Jones,Hobart,9,Nobbys Beach,"Mount Wellington, Hobart, TAS 7054",419,Noise Level Measurement,Description 166,4.64,Equipment 2,109.29,Compliant,1,4722,Yes,No
09-03-2022,16,Natalie Walker,Darwin,8,Speers Point Park,"Mindil Beach, Darwin, NT 0820",81,Noise Level Measurement,Description 121,4.76,Equipment 13,413.38,Compliant,3,1831,No,
13-01-2022,15,Olivia Hall,Canberra,17,Warners Bay Foreshore,"Parliament House, Canberra, ACT 2600",858,Water Quality Test,Description 175,6.4,Equipment 14,88.5,Compliant,5,3053,Yes,Yes
10-07-2022,12,Uma Allen,Gold Coast,5,Redhead Beach,"Surfers Paradise Beach, Gold Coast, QLD 4217",957,Soil Quality Test,Description 84,5.14,Equipment 13,467.41,Non-Compliant,1,4385,No,
02-08-2022,6,Uma Allen,Newcastle,18,Glenrock State Conservation Area,"John Parade, Merewether, NSW 2291",171,Water Quality Test,Description 127,1.94,Equipment 18,356.78,Compliant,1,2660,Yes,No
24-04-2022,11,Vicky Turner,Sydney,8,Hunter Wetlands Centre,"Circular Quay, Sydney, NSW 2000",289,Water Quality Test,Description 175,6.74,Equipment 14,407.21,Compliant,3,986,Yes,No
03-09-2022,4,Grace Jones,Melbourne,10,Croudace Bay Park,"St Kilda Road, Melbourne, VIC 3004",641,Air Quality Check,Description 63,1.73,Equipment 9,205.39,Non-Compliant,5,1,Yes,Yes
20-09-2022,8,Alice Johnson,Brisbane,9,Belmont Wetlands State Park,"South Bank, Brisbane, QLD 4101",42,Soil Quality Test,Description 115,1.82,Equipment 18,446.5,Compliant,1,1842,Yes,Yes
13-02-2022,10,Tina Scott,Perth,6,Jesmond Park,"Kings Park, Perth, WA 6005",841,Water Quality Test,Description 132,1.31,Equipment 11,151.54,Non-Compliant,3,2044,Yes,No
16-05-2022,17,Hannah Moore,Adelaide,16,Mount Sugarloaf,"Rundle Mall, Adelaide, SA 5000",293,Water Quality Test,Description 91,2.62,Equipment 6,86.42,Compliant,3,3598,No,
27-07-2022,5,Olivia Hall,Hobart,9,Charlestown Park,"Mount Wellington, Hobart, TAS 7054",659,Air Quality Check,Description 67,6.42,Equipment 14,182.14,Non-Compliant,3,3443,Yes,Yes
18-09-2022,23,Jane White,Darwin,3,Toronto Foreshore,"Mindil Beach, Darwin, NT 0820",453,Water Quality Test,Description 32,6.7,Equipment 7,3.43,Non-Compliant,3,4696,No,
06-07-2022,9,Wendy Mitchell,Canberra,22,Watagan Mountains,"Parliament House, Canberra, ACT 2600",570,Noise Level Measurement,Description 151,3.95,Equipment 8,240.98,Non-Compliant,3,3662,No,
14-05-2022,24,Laura Clark,Gold Coast,4,Mount Sugarloaf,"Mount Faulk Road, Awaba, NSW 2283",211,Water Quality Test,Description 195,7.62,Equipment 5,474.44,Non-Compliant,1,4802,No,
19-07-2022,12,Megan Lewis,Newcastle,19,Heaton State Forest,"Wharf Road, Newcastle East, NSW 2300",418,Soil Quality Test,Description 33,3.91,Equipment 8,181.79,Compliant,5,1466,No,
14-07-2022,4,Jane White,Sydney,21,Lambton Park,"Darling Harbour, Sydney, NSW 2000",275,Air Quality Check,Description 10,1.86,Equipment 15,2.89,Compliant,4,2403,Yes,Yes
04-12-2022,3,Zoe Ward,Melbourne,11,Hunter Wetlands Centre,"St Kilda Road, Melbourne, VIC 3004",157,Soil Quality Test,Description 74,4.04,Equipment 12,485.68,Non-Compliant,4,4073,Yes,No
27-12-2022,6,Xena Perez,Brisbane,6,Braye Park,"Queen Street Mall, Brisbane, QLD 4000",6,Air Quality Check,Description 5,5,Equipment 15,178.92,Non-Compliant,2,4131,Yes,No
24-08-2022,7,Ella Brown,Perth,2,Waratah Park,"Kings Park, Perth, WA 6005",688,Soil Quality Test,Description 200,5.28,Equipment 11,434.84,Non-Compliant,3,1426,Yes,Yes
06-07-2022,12,Tina Scott,Adelaide,13,King Edward Park,"Rundle Mall, Adelaide, SA 5000",62,Water Quality Test,Description 20,5.9,Equipment 4,105.07,Compliant,4,646,Yes,Yes
03-04-2022,18,Wendy Mitchell,Hobart,2,Blackbutt Nature Reserve,"Mount Wellington, Hobart, TAS 7054",861,Noise Level Measurement,Description 146,3.37,Equipment 3,212.68,Compliant,4,2180,Yes,Yes
22-08-2022,7,Diana Taylor,Darwin,2,Glenrock State Conservation Area,"Reserve Road, Newcastle, NSW 2300",448,Air Quality Check,Description 6,5.29,Equipment 18,76.67,Non-Compliant,3,4570,Yes,No
17-11-2022,21,Olivia Hall,Canberra,8,Newcastle Beach,"Lake Burley Griffin, Canberra, ACT 2600",881,Air Quality Check,Description 115,6.64,Equipment 12,473.5,Compliant,4,327,Yes,Yes
29-04-2022,3,Tina Scott,Gold Coast,3,Merewether Beach,"Broadbeach, Gold Coast, QLD 4218",65,Noise Level Measurement,Description 28,2.64,Equipment 7,436.5,Non-Compliant,3,2313,Yes,No
24-10-2022,1,Samantha Wright,Newcastle,15,Nobbys Beach,"Shortland Esplanade, Newcastle, NSW 2300",326,Water Quality Test,Description 136,6.7,Equipment 2,206.19,Compliant,4,4609,Yes,Yes
03-11-2022,5,Xena Perez,Sydney,4,Speers Point Park,"Reserve Road, Newcastle, NSW 2300",949,Water Quality Test,Description 150,7.26,Equipment 16,45.3,Non-Compliant,4,216,Yes,Yes
12-12-2022,4,Zoe Ward,Melbourne,13,Warners Bay Foreshore,"Federation Square, Melbourne, VIC 3000",615,Water Quality Test,Description 144,4.13,Equipment 6,271.64,Compliant,3,3179,Yes,No
24-02-2022,10,Samantha Wright,Brisbane,18,Redhead Beach,"Queen Street Mall, Brisbane, QLD 4000",167,Water Quality Test,Description 64,4.9,Equipment 4,483.5,Non-Compliant,1,4718,Yes,No
07-03-2022,6,Catherine Lee,Perth,10,Glenrock State Conservation Area,"Kings Park, Perth, WA 6005",413,Air Quality Check,Description 54,6.78,Equipment 19,367.21,Compliant,2,3256,Yes,Yes
26-12-2022,7,Diana Taylor,Adelaide,19,Hunter Wetlands Centre,"Rundle Mall, Adelaide, SA 5000",66,Air Quality Check,Description 60,6.65,Equipment 1,441.18,Compliant,2,302,No,
10-08-2022,23,Catherine Lee,Hobart,11,Croudace Bay Park,"Salamanca Place, Hobart, TAS 7000",943,Noise Level Measurement,Description 161,6.05,Equipment 19,39.34,Non-Compliant,5,626,No,
07-04-2022,6,Hannah Moore,Darwin,20,Belmont Wetlands State Park,"Mindil Beach, Darwin, NT 0820",821,Water Quality Test,Description 21,6.41,Equipment 14,416.94,Non-Compliant,5,2861,No,
23-12-2022,5,Beth Smith,Canberra,19,Jesmond Park,"Parliament House, Canberra, ACT 2600",489,Soil Quality Test,Description 193,1.25,Equipment 10,135.82,Non-Compliant,3,2604,Yes,Yes
15-12-2022,9,Fiona Wilson,Gold Coast,9,Mount Sugarloaf,"Surfers Paradise Beach, Gold Coast, QLD 4217",738,Noise Level Measurement,Description 35,4.88,Equipment 17,451.84,Compliant,3,1991,Yes,No
23-06-2022,24,Vicky Turner,Newcastle,23,Charlestown Park,"Wharf Road, Newcastle East, NSW 2300",550,Soil Quality Test,Description 93,7.64,Equipment 18,437.19,Compliant,4,361,No,
09-03-2022,15,Ella Brown,Sydney,5,Toronto Foreshore,"Darling Harbour, Sydney, NSW 2000",283,Air Quality Check,Description 49,1.33,Equipment 10,485.14,Compliant,1,182,Yes,No
22-12-2022,17,Xena Perez,Melbourne,5,Watagan Mountains,"St Kilda Road, Melbourne, VIC 3004",242,Air Quality Check,Description 2,6.27,Equipment 11,61.6,Compliant,3,3236,No,
20-08-2022,20,Grace Jones,Brisbane,10,Awaba State Forest,"Queen Street Mall, Brisbane, QLD 4000",664,Noise Level Measurement,Description 196,2.33,Equipment 6,116.96,Compliant,2,2342,Yes,No
17-05-2022,21,Megan Lewis,Perth,23,Heaton State Forest,"Kings Park, Perth, WA 6005",350,Soil Quality Test,Description 183,1.63,Equipment 2,286.49,Compliant,4,174,No,
05-10-2022,4,Samantha Wright,Adelaide,2,Nobbys Beach,"Rundle Mall, Adelaide, SA 5000",799,Noise Level Measurement,Description 12,5.34,Equipment 17,489.06,Non-Compliant,3,2688,No,
28-01-2022,7,Megan Lewis,Hobart,8,Richley Reserve,"Mount Wellington, Hobart, TAS 7054",403,Noise Level Measurement,Description 69,2.86,Equipment 3,148.17,Compliant,3,2703,Yes,No
02-07-2022,5,Hannah Moore,Darwin,12,Braye Park,"Darwin Waterfront, Darwin, NT 0800",214,Soil Quality Test,Description 8,2.92,Equipment 5,221.63,Compliant,1,4293,No,
10-01-2022,17,Alice Johnson,Canberra,18,Waratah Park,"Lake Burley Griffin, Canberra, ACT 2600",793,Soil Quality Test,Description 130,1.02,Equipment 5,245.98,Compliant,5,4799,Yes,No
16-09-2022,11,Kate Harris,Gold Coast,4,King Edward Park,"Broadbeach, Gold Coast, QLD 4218",379,Noise Level Measurement,Description 26,2.56,Equipment 2,196.2,Compliant,2,1936,No,
16-05-2022,14,Uma Allen,Newcastle,6,Blackbutt Nature Reserve,"Shortland Esplanade, Newcastle, NSW 2300",925,Air Quality Check,Description 32,7.93,Equipment 7,314.68,Non-Compliant,4,2213,No,
01-10-2022,23,Diana Taylor,Sydney,13,King Edward Park,"Reserve Road, Newcastle, NSW 2300",258,Soil Quality Test,Description 170,7.46,Equipment 10,57.85,Compliant,1,3131,No,
10-01-2022,19,Vicky Turner,Melbourne,4,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",983,Noise Level Measurement,Description 128,2.47,Equipment 8,35.49,Compliant,2,136,Yes,No
07-06-2022,25,Laura Clark,Brisbane,6,Merewether Beach,"South Bank, Brisbane, QLD 4101",358,Water Quality Test,Description 92,3.15,Equipment 19,82.84,Compliant,1,722,Yes,No
12-07-2022,12,Tina Scott,Perth,17,Nobbys Beach,"Cottesloe Beach, Perth, WA 6011",398,Noise Level Measurement,Description 11,6.88,Equipment 14,97.61,Compliant,5,1816,Yes,Yes
09-10-2022,2,Zoe Ward,Adelaide,21,Speers Point Park,"Rundle Mall, Adelaide, SA 5000",710,Noise Level Measurement,Description 100,5.18,Equipment 8,385.14,Compliant,3,4056,Yes,Yes
03-09-2022,3,Fiona Wilson,Hobart,21,Warners Bay Foreshore,"Mount Wellington, Hobart, TAS 7054",713,Water Quality Test,Description 107,3.71,Equipment 13,487.01,Compliant,1,2802,Yes,Yes
31-12-2022,3,Beth Smith,Darwin,3,Redhead Beach,"Beach Road, Redhead, NSW 2290",379,Air Quality Check,Description 115,7.09,Equipment 18,14.97,Non-Compliant,5,603,Yes,No
01-12-2022,15,Wendy Mitchell,Canberra,19,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",412,Soil Quality Test,Description 150,4.17,Equipment 6,70.49,Non-Compliant,3,1951,Yes,No
23-10-2022,7,Zoe Ward,Gold Coast,19,Hunter Wetlands Centre,"Broadbeach, Gold Coast, QLD 4218",778,Noise Level Measurement,Description 198,5.94,Equipment 12,69.69,Compliant,2,4206,No,
26-02-2022,22,Alice Johnson,Newcastle,22,Croudace Bay Park,"Shortland Esplanade, Newcastle, NSW 2300",41,Noise Level Measurement,Description 90,7.57,Equipment 16,191.71,Non-Compliant,3,3880,Yes,Yes
13-02-2022,8,Vicky Turner,Sydney,11,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",51,Noise Level Measurement,Description 124,7.32,Equipment 5,162.84,Compliant,3,339,No,
30-08-2022,17,Fiona Wilson,Melbourne,18,Jesmond Park,"Federation Square, Melbourne, VIC 3000",699,Noise Level Measurement,Description 119,4.12,Equipment 11,143.82,Non-Compliant,2,2905,No,
04-08-2022,13,Laura Clark,Brisbane,6,Mount Sugarloaf,"Queen Street Mall, Brisbane, QLD 4000",9,Water Quality Test,Description 21,3.47,Equipment 19,453.03,Non-Compliant,4,685,Yes,Yes
